108436.3	3	2	1.89E+06	
108436.3	3	3	6.30E+05	
108476.7	7	1	5.06E+06	
108476.7	5	1	1.27E+06	
108476.7	3	1	1.41E+05	
108476.7	5	2	3.78E+06	
108476.7	3	2	2.10E+06	
108476.7	3	3	2.79E+06	
108705.5	3	1	2.31E+06	
108705.5	3	2	1.38E+06	
108705.5	3	3	4.58E+05	
108736.1	7	1	3.71E+06	
108736.1	5	1	9.31E+05	
108736.1	3	1	1.03E+05	
108736.1	5	2	2.77E+06	
108736.1	3	2	1.54E+06	
108736.1	3	3	2.05E+06	
113910.957	5	1	5.10E+08	
113910.957	5	2	1.69E+08	
113921.391	3	1	2.84E+08	
113921.391	3	2	1.69E+08	
113921.391	3	3	2.25E+08	
113927.534	1	2	6.76E+08	
123296.777	5	1	2.25E+07	
123296.777	5	2	7.46E+06	
123355.512	3	1	1.25E+07	
123355.512	3	2	7.47E+06	
123355.512	3	3	9.94E+06	
123387.339	1	2	2.99E+07	
126266.896	5	1	4.94E+08	
126266.896	5	2	1.64E+08	
126340.225	3	1	2.75E+08	
126340.225	3	2	1.65E+08	
126340.225	3	3	2.19E+08	
126383.751	1	2	6.60E+08	
129970.000	5	1	1.61E+08	
129970.000	5	2	5.35E+07	
129979.384	3	1	8.96E+07	
129979.384	3	2	5.35E+07	
129979.384	3	3	7.11E+07	
129984.553	1	2	2.14E+08	
132311.1	5	1	6.97E+07	
132311.1	5	2	2.31E+07	
132316.2	3	1	3.87E+07	
132316.2	3	2	2.31E+07	
132316.2	3	3	3.08E+07	
133622.0	5	1	3.97E+07	
133622.0	5	2	1.32E+07	
133626.5	3	1	2.20E+07	
133626.5	3	2	1.32E+07	
133626.5	3	3	1.76E+07	
134421.4	5	1	2.57E+07	
134421.4	5	2	8.58E+06	
134426.5	3	1	1.42E+07	
134426.5	3	2	8.53E+06	
134426.5	3	3	1.13E+07	
134943.8	5	1	1.80E+07	
134943.8	5	2	5.97E+06	
134947.1	3	1	9.98E+06	
134947.1	3	2	5.96E+06	
134947.1	3	3	7.95E+06	
135303.5	5	1	1.33E+07	
135303.5	5	2	4.42E+06	
135305.0	3	1	7.39E+06	
135305.0	3	2	4.42E+06	
135305.0	3	3	5.88E+06	
135560.3	5	1	1.04E+07	
135560.3	5	2	3.46E+06	
135562.2	3	1	5.76E+06	
135562.2	3	2	3.45E+06	
135562.2	3	3	4.60E+06	

Number of collision partners (may be zero):
#
6

Enter the collision rates, except for electrons, where the Maxwellian-averaged
collision strengths should be entered instead.
(in that case the collision partner name entered should be exactly "electron")

source:

	for the 3PJ-3PJ' transitions:
	Bell, K.L., Berrington, K.A. & Thomas, M.R.J., 1998: MNRAS 293, L83

	for the 3P-1D and 3P-1S transitions:
	Berrington, K.A. & Burke, P.G., 1981: Planet. Space Sci. 29, 377
	(transformed to 3PJ according to the statistical weights, e.g.: 
a							3PJ-1D = (2J+1)/9 * 3P-1D)

collision partner name (up to 10 characters)
number n of levels included in collisions with this partner (always the first n lower levels)
total number of interpolations listed
partial number of interpolations	number of points in this interpolation set
temperature values [K]
i	j	gamma(i,j)
..............................
partial number of interpolations	number of points in this interpolation set
temperature values [K]
i	j	gamma(i,j)
..............................
#
electron
5
10
3	7
		50.		100.		200.		500.		1000.		2000.		3000.	
2	1	8.34E-04	1.26E-03	1.79E-03	2.58E-03	3.35E-03	4.61E-03	5.92E-03	
3	1	3.23E-04	5.00E-04	7.34E-04	1.12E-03	1.49E-03	2.08E-03	2.64E-03	
3	2	2.74E-07	8.92E-07	2.78E-06	1.05E-05	2.38E-05	4.62E-05	6.98E-05	
7	7
		500.	1000.	5000.	10000.	20000.	50000.	100000.
4	1	3.22222222222222E-03	8.38888888888889E-03	6.88888888888889E-02	1.47777777777778E-01	2.78333333333333E-01	5.23333333333333E-01	7.33333333333333E-01	
4	2	1.93333333333333E-03	5.03333333333333E-03	4.13333333333333E-02	8.86666666666667E-02	1.67000000000000E-01	3.14000000000000E-01	4.40000000000000E-01	
4	3	6.44444444444444E-04	1.67777777777778E-03	1.37777777777778E-02	2.95555555555556E-02	5.56666666666667E-02	1.04666666666667E-01	1.46666666666667E-01	
5	1	3.61111111111111E-04	1.02222222222222E-03	8.50000000000000E-03	1.80000000000000E-02	3.37222222222222E-02	6.27777777777778E-02	8.77777777777778E-02	
5	2	2.16666666666667E-04	6.13333333333333E-04	5.10000000000000E-03	1.08000000000000E-02	2.02333333333333E-02	3.76666666666667E-02	5.26666666666667E-02	
5	3	7.22222222222222E-05	2.04444444444444E-04	1.70000000000000E-03	3.60000000000000E-03	6.74444444444444E-03	1.25555555555556E-02	1.75555555555556E-02	
5	4	0.0221	0.0310	0.0732	0.1050	0.1480	0.2380	0.3340	

source:

	P�quignot, D., 1990: A&A 231, 499
	(analytical fits for 3PJ - 3PJ' transitions)

collision partner name (up to 10 characters)
number n of levels included in collisions with this partner (always the first n lower levels)
total number of interpolations listed
partial number of interpolations	number of points in this interpolation set
temperature values [K]
i	j	q(i->j) [cm^3 s^-1]
..............................
partial number of interpolations	number of points in this interpolation set
temperature values [K]
i	j	q(i->j) [cm^3 s^-1]
..............................
#
proton
3
3
3	3
100		1000     10000
2	1	1.E-30	1.E-30  1.E-30
3	1	1.E-30	1.E-30  1.E-30
3	2	1.E-30	1.E-30  1.E-30

source:

	for the 3PJ-3PJ' transitions:
	Launay, J.M. & Roueff, E., 1977: A&A 56, 289

	for the 3P-1D transitions:
	Federman, S.R. & Shipsey, E.J., 1983: ApJ 269, 791
	(transformed to 3PJ according to the statistical weights: 
a							3PJ-1D = (2J+1)/9 * 3P-1D)
#
H0
4
6
3	16
50 70 100 150 200 250 300 350 400 450 500 600 700 800 900 1000
1 2 1.8900e-12 7.4000e-12 2.2000e-11 5.4900e-11 9.0600e-11 1.2540e-10 1.5830e-10 1.8900e-10 2.1740e-10 2.4360e-10 2.6790e-10 3.1140e-10 3.4910e-10 3.8220e-10 4.1140e-10 4.3750e-10
1 3 8.0000e-14 5.4800e-13 2.4300e-12 8.2700e-12 1.5900e-11 2.4200e-11 3.2400e-11 4.0400e-11 4.8000e-11 5.5100e-11 6.1800e-11 7.4000e-11 8.4700e-11 9.4100e-11 1.0250e-10 1.1010e-10
2 3 1.1000e-11 2.7000e-11 5.3800e-11 9.8900e-11 1.3800e-10 1.7020e-10 1.9650e-10 2.1790e-10 2.3550e-10 2.5000e-10 2.6210e-10 2.8110e-10 2.9490e-10 3.0550e-10 3.1370e-10 3.2030e-10	
3	8
		1000.	2000.	3000.	4000.	5000.	6000.	8000.	10000.
4	1	2.88888888888889E-13	3.55555555555556E-13	3.94444444444444E-13	4.27777777777778E-13	4.50000000000000E-13	4.66666666666667E-13	4.88888888888889E-13	5.05555555555556E-13	
4	2	1.73333333333333E-13	2.13333333333333E-13	2.36666666666667E-13	2.56666666666667E-13	2.70000000000000E-13	2.80000000000000E-13	2.93333333333333E-13	3.03333333333333E-13	
4	3	5.77777777777778E-14	7.11111111111111E-14	7.88888888888889E-14	8.55555555555555E-14	9.00000000000000E-14	9.33333333333333E-14	9.77777777777778E-14	1.01111111111111E-13	


source: 
  
  Abrahamsson et al. 2007

#
para-H2
3
3
3	26
		20.	40.	60.	80.	100.	120.	140.	160.	180.	200.	250.	300.	350.	400.	450.	500.	600.	700.	800.	900.	1000.	1100.	1200.	1300.	1400.	1500.
2	1	0.0	0.0	0.001E-10	0.002E-10	0.003E-10	0.004E-10	0.005E-10	0.007E-10	0.009E-10	0.011E-10	0.016E-10	0.022E-10	0.028E-10	0.034E-10	0.041E-10	0.047E-10	0.060E-10	0.073E-10	0.085E-10	0.097E-10	0.108E-10	0.118E-10	0.127E-10	0.135E-10	0.143E-10	0.150E-10
3	1	0.0	0.0	0.000E-10	0.01E-10	0.02E-10	0.03E-10	0.05E-10	0.07E-10	0.09E-10	0.12E-10	0.18E-10	0.23E-10	0.28E-10	0.33E-10	0.37E-10	0.40E-10	0.47E-10	0.52E-10	0.57E-10	0.62E-10	0.66E-10	0.69E-10	0.73E-10	0.76E-10	0.78E-10	0.81E-10
3	2	0.0	0.0	0.02E-10	0.05E-10	0.09E-10	0.14E-10	0.20E-10	0.26E-10	0.31E-10	0.37E-10	0.50E-10	0.61E-10	0.72E-10	0.80E-10	0.88E-10	0.96E-10	1.08E-10	1.19E-10	1.29E-10	1.39E-10	1.47E-10	1.55E-10	1.62E-10	1.68E-10	1.74E-10	1.79E-10	

source:

	R Jaquet, V. Staemmler, M. D. Smith, D. R. Flower 1992: 
a												J. Phys. B 25, 285	

#
ortho-H2
3
3
3	26
		20.	40.	60.	80.	100.	120.	140.	160.	180.	200.	250.	300.	350.	400.	450.	500.	600.	700.	800.	900.	1000.	1100.	1200.	1300.	1400.	1500.
2	1	0.0	0.0	0.001E-10	0.002E-10	0.004E-10	0.005E-10	0.007E-10	0.009E-10	0.011E-10	0.013E-10	0.020E-10	0.027E-10	0.034E-10	0.042E-10	0.049E-10	0.057E-10	0.073E-10	0.089E-10	0.104E-10	0.118E-10	0.131E-10	0.143E-10	0.154E-10	0.165E-10	0.174E-10	0.182E-10
3	1	0.0	0.0	0.000E-10	0.01E-10	0.02E-10	0.03E-10	0.05E-10	0.07E-10	0.09E-10	0.12E-10	0.17E-10	0.23E-10	0.29E-10	0.34E-10	0.38E-10	0.43E-10	0.50E-10	0.57E-10	0.62E-10	0.68E-10	0.72E-10	0.77E-10	0.81E-10	0.84E-10	0.87E-10	0.90E-10
3	2	0.0	0.0	0.01E-10	0.04E-10	0.08E-10	0.13E-10	0.19E-10	0.24E-10	0.30E-10	0.35E-10	0.48E-10	0.60E-10	0.71E-10	0.80E-10	0.89E-10	0.98E-10	1.12E-10	1.26E-10	1.37E-10	1.48E-10	1.58E-10	1.68E-10	1.76E-10	1.84E-10	1.91E-10	1.97E-10	

source:

	R Jaquet, V. Staemmler, M. D. Smith, D. R. Flower 1992: et, 1991: 
a												J. Phys. B 25, 285

#
helium
3
3
3	10
100.	200.	300.	400.	500.	600.	700.	800.	900.	1000.	
3	2	1.44E-12	4.60E-12	8.55E-12	1.28E-11	1.71E-11	2.15E-11	2.59E-11	3.01E-11	3.43E-11	3.86E-11	
3	1	5.78E-11	9.92E-11	1.32E-10	1.60E-10	1.85E-10	2.06E-10	2.25E-10	2.45E-10	2.62E-10	2.77E-10	
2	1	3.80E-11	6.15E-11	8.09E-11	9.96E-11	1.17E-10	1.31E-10	1.45E-10	1.60E-10	1.74E-10	1.88E-10	

source: 
  
	Monteiro, T.S. & Flower, D.R., 1987: MNRAS 228, 101
