Alex Ignácio da Silva	ignacioalex@yahoo.com

last change: June 15, 2000.

Always enter the atomic data immediately after the symbol # ;
any comments inserted before this symbol will be ignored by the routine.

Name of atom or ion this atomic data set refers to (up to 10 characters):
#
FeII

Number of levels that belong to the ground term:
#
5

Number of levels covered in this atomic data:
#
20

Energy levels and statistical weights:
(one by line, from lowest to highest)
(only the first two numbers are read by the subroutine)

source: 

	C. Corliss and J. Sugar
	J. Phys. Chem. Ref. Data 11, 135 (1982)

E [cm^-1]	g(i)	i	level
#
0.0		10	1	3d6 4s 6D9/2
384.790	8	2	3d6 4s 6D7/2
667.683	6	3	3d6 4s 6D5/2
862.613	4	4	3d6 4s 6D3/2
977.053	2	5	3d6 4s 6D1/2
1872.567	10	6	3d7 4F9/2
2430.097	8	7	3d7 4F7/2
2837.950	6	8	3d7 4F5/2
3117.461	4	9	3d7 4F3/2
7955.299	8	10	3d6 4s 4D7/2
8391.938	6	11	3d6 4s 4D5/2
8680.454	4	12	3d6 4s 4D3/2
8846.768	2	13	3d6 4s 4D1/2
13474.411	6	14	3d7 4P5/2
13673.185	4	15	3d7 4P3/2
13904.824	2	16	3d7 4P1/2
15844.65	10	17	3d7 2G9/2
16369.36	8	18	3d7 2G7/2
18360.646	4	19	3d7 2P3/2
18886.780	2	20	3d7 2P1/2

Transition probabilities:
(one by line)
(there's no need to enter null probabilities)

source:
 
	Quinet, P., le Dourneuf, M. & Zeippen, C.J., 1996: A&AS 120, 361
	(Iron Project calculation)

	transitions involving the a2G or a2P levels not listed in the
	reference above were taken from:
	Garstang, R.H., 1962: MNRAS 124, 321

number of transitions listed
j	i	Aij [s^-1]
12	16	9.09E-4
13	16	4.04E-5
14	15	1.86E-4
15	16	5.51E-4
6	17	1.46E-1
6	18	5.31E-3
7	17	4.77E-2
7	18	5.51E-2
8	18	4.21E-2
8	17	5.3E-6
9	18	1.2E-5
17	18	2.14E-3
2	19	1.8E-6
3	19	8.45E-5
4	19	2.7E-6
5	19	9.17E-6
3	20	2.0E-6
4	20	9.615E-5
5	20	1.9E-5
7	19	3.16E-3
8	19	2.33E-2
8	20	1.74E-3
9	19	1.61E-2
9	20	4.1E-4
11	19	6.84E-3
12	20	6.67E-3
13	20	1.98E-3
10	19	2.1E-4
12	19	1.84E-4
13	19	6.1E-4
11	20	1.7E-4
14	19	6.56E-2
15	19	3.38E-2
16	19	1.54E-2
16	20	8.30E-2
14	20	2.0E-6
15	20	3.8E-5
19	20	2.46E-3

Transitions involving the ground term and higher excited levels:
(SORTED BY Ej)
(The inclusion of a level connected to only one of the ground-state levels does not change
 the relative population ratios. That level is ignored by the program, anyway.)

source:

	Allowed transitions from:
	Nahar, S.N., 1995: A&A 293, 967
	(Iron Project calculation)

	(wavelength range: 932-2633 Å)

number of transitions listed (may be zero)
Ej [cm^-1]	g(j)	i	Aji [s^-1]
#
212
38458.981	10	1	2.368E+08	
38458.981	10	2	5.222E+07	
38660.043	8	1	6.834E+07	
38660.043	8	2	1.283E+08	
38660.043	8	3	9.010E+07	
38858.958	6	2	1.248E+08	
38858.958	6	3	4.881E+07	
38858.958	6	4	1.122E+08	
39013.206	4	3	1.730E+08	
39013.206	4	4	3.124E+06	
39013.206	4	5	1.097E+08	
39109.307	2	4	2.232E+08	
39109.307	2	5	6.323E+07	
41968.046	12	1	3.353E+08	
42114.818	10	1	6.235E+07	
42114.818	10	2	2.683E+08	
42237.033	8	1	6.323E+06	
42237.033	8	2	1.131E+08	
42237.033	8	3	2.102E+08	
42334.822	6	2	1.909E+07	
42334.822	6	3	1.520E+08	
42334.822	6	4	1.553E+08	
42401.302	4	3	3.957E+07	
42401.302	4	4	1.853E+08	
42401.302	4	5	9.996E+07	
42439.822	2	4	7.238E+07	
42439.822	2	5	2.522E+08	
42658.224	8	1	1.917E+08	
42658.224	8	2	5.348E+07	
42658.224	8	3	8.716E+06	
43238.586	6	2	1.330E+08	
43238.586	6	3	9.315E+07	
43238.586	6	4	3.007E+07	
43620.957	4	3	7.307E+07	
43620.957	4	4	1.081E+08	
43620.957	4	5	7.661E+07	
61974.933	4	3	1.029E+08	
61974.933	4	4	1.529E+08	
61974.933	4	5	1.086E+08	
62049.025	6	2	1.919E+08	
62049.025	6	3	1.352E+08	
62049.025	6	4	4.383E+07	
62171.615	8	1	2.874E+08	
62171.615	8	2	8.087E+07	
62171.615	8	3	1.326E+07	
79246.170	4	3	3.344E+07	
79246.170	4	4	4.978E+07	
79246.170	4	5	3.540E+07	
79285.110	6	2	6.206E+07	
79285.110	6	3	4.385E+07	
79285.110	6	4	1.425E+07	
79331.500	8	1	9.216E+07	
79331.500	8	2	2.604E+07	
79331.500	8	3	4.283E+06	
87340.894	12	1	5.649E+08	
87471.765	10	1	1.044E+08	
87471.765	10	2	4.558E+08	
87537.653	8	1	1.052E+07	
87537.653	8	2	1.908E+08	
87537.653	8	3	3.585E+08	
87572.431	6	2	3.203E+07	
87572.431	6	3	2.578E+08	
87572.431	6	4	2.653E+08	
87602.250	4	3	6.684E+07	
87602.250	4	4	3.154E+08	
87602.250	4	5	1.708E+08	
87635.920	2	4	1.388E+07	
87635.920	2	5	3.953E+06	
87898.120	2	4	1.241E+08	
87898.120	2	5	4.343E+08	
87964.650	4	3	1.087E+07	
87964.650	4	4	1.980E+05	
87964.650	4	5	6.992E+06	
88059.381	6	2	7.862E+06	
88059.381	6	3	3.115E+06	
88059.381	6	4	7.223E+06	
88209.453	8	1	4.323E+06	
88209.453	8	2	8.256E+06	
88209.453	8	3	5.870E+06	
88614.517	10	1	1.543E+07	
88614.517	10	2	3.461E+06	
88723.401	10	1	6.917E+07	
88723.401	10	2	1.552E+07	
88853.534	8	1	1.974E+07	
88853.534	8	2	3.770E+07	
88853.534	8	3	2.681E+07	
89119.458	6	2	3.641E+07	
89119.458	6	3	1.443E+07	
89119.458	6	4	3.346E+07	
89128.561	8	1	5.391E+08	
89128.561	8	2	1.526E+08	
89128.561	8	3	2.513E+07	
89331.195	4	3	5.088E+07	
89331.195	4	4	9.267E+05	
89331.195	4	5	3.273E+07	
89444.458	6	2	3.682E+08	
89444.458	6	3	2.605E+08	
89444.458	6	4	8.468E+07	
89471.366	2	4	6.602E+07	
89471.366	2	5	1.880E+07	
89625.940	4	3	2.001E+08	
89625.940	4	4	2.982E+08	
89625.940	4	5	2.122E+08	
89924.175	12	1	1.223E+07	
90067.347	10	1	2.261E+06	
90067.347	10	2	9.873E+06	
90300.626	8	1	2.291E+05	
90300.626	8	2	4.156E+06	
90300.626	8	3	7.810E+06	
90487.810	6	2	7.012E+05	
90487.810	6	3	5.646E+06	
90487.810	6	4	5.811E+06	
90593.497	4	3	1.467E+06	
90593.497	4	4	6.925E+06	
90593.497	4	5	3.752E+06	
90648.218	2	4	2.702E+06	
90648.218	2	5	9.457E+06	
91167.938	8	1	9.594E+07	
91167.938	8	2	2.716E+07	
91167.938	8	3	4.474E+06	
91575.139	6	2	6.572E+07	
91575.139	6	3	4.650E+07	
91575.139	6	4	1.512E+07	
91843.471	4	3	3.583E+07	
91843.471	4	4	5.340E+07	
91843.471	4	5	3.800E+07	
91850.723	2	4	1.393E+07	
91850.723	2	5	4.876E+07	
91915.950	4	3	7.595E+06	
91915.950	4	4	3.585E+07	
91915.950	4	5	1.942E+07	
92018.730	6	2	3.654E+06	
92018.730	6	3	2.942E+07	
92018.730	6	4	3.029E+07	
92154.166	8	1	1.206E+06	
92154.166	8	2	2.189E+07	
92154.166	8	3	4.114E+07	
92300.277	10	1	1.205E+07	
92300.277	10	2	5.266E+07	
92432.137	12	1	6.579E+07	
93830.979	6	2	2.064E+08	
93830.979	6	3	8.180E+07	
93830.979	6	4	1.898E+08	
93840.340	4	3	2.866E+08	
93840.340	4	4	5.221E+06	
93840.340	4	5	1.844E+08	
93987.457	8	1	1.134E+08	
93987.457	8	2	2.167E+08	
93987.457	8	3	1.542E+08	
94031.379	2	4	3.725E+08	
94031.379	2	5	1.061E+08	
94057.773	10	1	3.999E+08	
94057.773	10	2	8.978E+07	
94209.200	4	3	1.921E+06	
94209.200	4	4	2.864E+06	
94209.200	4	5	2.038E+06	
94685.090	6	2	3.608E+06	
94685.090	6	3	2.554E+06	
94685.090	6	4	8.307E+05	
94763.220	8	1	5.350E+06	
94763.220	8	2	1.515E+06	
94763.220	8	3	2.497E+05	
106361.208	10	1	1.147E+08	
106361.208	10	2	2.579E+07	
106398.300	4	3	1.069E+07	
106398.300	4	4	5.048E+07	
106398.300	4	5	2.737E+07	
106476.200	2	4	1.971E+07	
106476.200	2	5	6.901E+07	
106477.974	8	1	1.683E+06	
106477.974	8	2	3.059E+07	
106477.974	8	3	5.757E+07	
106592.280	6	2	5.145E+06	
106592.280	6	3	4.149E+07	
106592.280	6	4	4.275E+07	
106608.536	8	1	3.281E+07	
106608.536	8	2	6.281E+07	
106608.536	8	3	4.473E+07	
106624.600	10	1	1.681E+07	
106624.600	10	2	7.355E+07	
106649.427	12	1	9.140E+07	
106814.148	6	2	6.047E+07	
106814.148	6	3	2.400E+07	
106814.148	6	4	5.571E+07	
106892.694	12	1	1.644E+05	
107044.189	4	3	8.458E+07	
107044.189	4	4	1.542E+06	
107044.189	4	5	5.450E+07	
107197.080	8	1	4.685E+05	
107197.080	8	2	1.329E+05	
107197.080	8	3	2.192E+04	
107217.824	10	1	3.052E+04	
107217.824	10	2	1.336E+05	
107283.740	2	4	1.101E+08	
107283.740	2	5	3.137E+07	
107459.750	8	1	3.089E+03	
107459.750	8	2	5.617E+04	
107459.750	8	3	1.057E+05	
107525.159	6	2	3.201E+05	
107525.159	6	3	2.269E+05	
107525.159	6	4	7.384E+04	
107572.252	6	2	9.446E+03	
107572.252	6	3	7.618E+04	
107572.252	6	4	7.849E+04	
107605.101	4	3	1.975E+04	
107605.101	4	4	9.329E+04	
107605.101	4	5	5.057E+04	
107723.176	2	4	3.645E+04	
107723.176	2	5	1.277E+05	
107826.916	4	3	1.747E+05	
107826.916	4	4	2.606E+05	
107826.916	4	5	1.856E+05	


Number of collision partners (may be zero):
#
1

Enter the collision rates, except for electrons, where the Maxwellian-averaged
collision strengths should be entered instead.
(in that case the collision partner name entered should be exactly "electron")

source:

	Zhang, H.L. & Pradhan, A.K., 1995: A&A 293, 953
	(Iron Project calculation)

	transitions involving the a2G or a2P levels were taken from:
	Bautista, M.A. & Pradhan, A.K., 1996: A&AS 115, 551

collision partner name (up to 10 characters)
number n of levels included in collisions with this partner (always the first n lower levels)
total number of interpolations listed
partial number of interpolations	number of points in this interpolation set
temperature values [K]
i	j	gamma(i,j)
..............................
partial number of interpolations	number of points in this interpolation set
temperature values [K]
i	j	gamma(i,j)
..............................
#
electron
20
170
120	20
		1.0E+03	3.0E+03	5.0E+03	7.0E+03	1.0E+04	1.2E+04	1.5E+04	1.7E+04	2.0E+04	2.5E+04	3.0E+04	3.5E+04	4.0E+04	4.5E+04	5.0E+04	6.0E+04	7.0E+04	8.0E+04	9.0E+04	1.0E+05	
1	2	6.970E+00	6.269E+00	5.974E+00	5.728E+00	5.521E+00	5.471E+00	5.461E+00	5.471E+00	5.483E+00	5.468E+00	5.402E+00	5.301E+00	5.178E+00	5.044E+00	4.906E+00	4.636E+00	4.386E+00	4.159E+00	3.957E+00	3.777E+00	
1	3	2.021E+00	1.853E+00	1.679E+00	1.557E+00	1.491E+00	1.501E+00	1.550E+00	1.589E+00	1.642E+00	1.704E+00	1.730E+00	1.730E+00	1.712E+00	1.683E+00	1.647E+00	1.569E+00	1.489E+00	1.413E+00	1.343E+00	1.280E+00	
1	4	8.646E-01	8.601E-01	7.816E-01	7.183E-01	6.747E-01	6.708E-01	6.832E-01	6.961E-01	7.153E-01	7.389E-01	7.497E-01	7.501E-01	7.436E-01	7.327E-01	7.191E-01	6.887E-01	6.577E-01	6.284E-01	6.016E-01	5.774E-01	
1	5	3.369E-01	3.596E-01	3.303E-01	3.041E-01	2.839E-01	2.806E-01	2.836E-01	2.879E-01	2.947E-01	3.037E-01	3.082E-01	3.089E-01	3.070E-01	3.033E-01	2.985E-01	2.877E-01	2.765E-01	2.659E-01	2.561E-01	2.472E-01	
1	6	3.810E+00	4.004E+00	4.051E+00	3.890E+00	3.595E+00	3.418E+00	3.192E+00	3.063E+00	2.894E+00	2.663E+00	2.476E+00	2.319E+00	2.185E+00	2.069E+00	1.967E+00	1.797E+00	1.660E+00	1.546E+00	1.451E+00	1.369E+00	
1	7	1.658E+00	1.704E+00	1.714E+00	1.637E+00	1.507E+00	1.430E+00	1.333E+00	1.279E+00	1.208E+00	1.110E+00	1.032E+00	9.655E-01	9.089E-01	8.598E-01	8.167E-01	7.444E-01	6.858E-01	6.374E-01	5.967E-01	5.618E-01	
1	8	5.977E-01	5.913E-01	5.853E-01	5.506E-01	4.969E-01	4.671E-01	4.305E-01	4.104E-01	3.847E-01	3.503E-01	3.228E-01	2.999E-01	2.804E-01	2.636E-01	2.489E-01	2.243E-01	2.045E-01	1.882E-01	1.746E-01	1.630E-01	
1	9	1.634E-01	1.649E-01	1.645E-01	1.539E-01	1.371E-01	1.279E-01	1.168E-01	1.107E-01	1.031E-01	9.305E-02	8.508E-02	7.852E-02	7.297E-02	6.819E-02	6.402E-02	5.708E-02	5.153E-02	4.698E-02	4.319E-02	3.997E-02	
1	10	1.744E+01	1.532E+01	1.358E+01	1.229E+01	1.098E+01	1.036E+01	9.651E+00	9.265E+00	8.772E+00	8.099E+00	7.547E+00	7.079E+00	6.674E+00	6.320E+00	6.006E+00	5.475E+00	5.040E+00	4.677E+00	4.368E+00	4.102E+00	
1	11	7.862E-01	6.211E-01	5.471E-01	5.336E-01	5.599E-01	5.846E-01	6.159E-01	6.305E-01	6.434E-01	6.464E-01	6.349E-01	6.160E-01	5.938E-01	5.706E-01	5.474E-01	5.039E-01	4.651E-01	4.312E-01	4.017E-01	3.758E-01	
1	12	2.399E-01	2.076E-01	1.858E-01	1.815E-01	1.909E-01	1.998E-01	2.115E-01	2.171E-01	2.225E-01	2.248E-01	2.219E-01	2.163E-01	2.093E-01	2.019E-01	1.945E-01	1.803E-01	1.676E-01	1.564E-01	1.466E-01	1.380E-01	
1	13	6.244E-02	6.056E-02	5.631E-02	5.631E-02	6.104E-02	6.494E-02	7.000E-02	7.254E-02	7.513E-02	7.691E-02	7.665E-02	7.529E-02	7.335E-02	7.117E-02	6.890E-02	6.448E-02	6.043E-02	5.682E-02	5.364E-02	5.082E-02	
1	14	7.891E-01	8.645E-01	9.007E-01	9.248E-01	9.480E-01	9.542E-01	9.520E-01	9.447E-01	9.282E-01	8.926E-01	8.537E-01	8.153E-01	7.789E-01	7.452E-01	7.143E-01	6.600E-01	6.145E-01	5.759E-01	5.430E-01	5.146E-01	
1	15	4.057E-01	4.411E-01	4.667E-01	4.847E-01	5.024E-01	5.085E-01	5.105E-01	5.084E-01	5.019E-01	4.858E-01	4.672E-01	4.483E-01	4.302E-01	4.132E-01	3.975E-01	3.696E-01	3.459E-01	3.258E-01	3.085E-01	2.934E-01	
1	16	7.033E-03	1.457E-02	2.102E-02	2.645E-02	3.278E-02	3.571E-02	3.847E-02	3.947E-02	4.011E-02	3.976E-02	3.851E-02	3.690E-02	3.520E-02	3.351E-02	3.190E-02	2.899E-02	2.649E-02	2.435E-02	2.252E-02	2.093E-02	
2	3	6.313E+00	5.803E+00	5.688E+00	5.559E+00	5.442E+00	5.416E+00	5.417E+00	5.424E+00	5.426E+00	5.391E+00	5.310E+00	5.198E+00	5.068E+00	4.931E+00	4.792E+00	4.525E+00	4.280E+00	4.061E+00	3.866E+00	3.694E+00	
2	4	1.622E+00	1.423E+00	1.297E+00	1.219E+00	1.197E+00	1.223E+00	1.287E+00	1.332E+00	1.393E+00	1.463E+00	1.496E+00	1.503E+00	1.492E+00	1.469E+00	1.440E+00	1.374E+00	1.305E+00	1.239E+00	1.179E+00	1.124E+00	
2	5	5.894E-01	5.267E-01	4.750E-01	4.386E-01	4.191E-01	4.224E-01	4.380E-01	4.504E-01	4.675E-01	4.875E-01	4.963E-01	4.969E-01	4.919E-01	4.834E-01	4.729E-01	4.492E-01	4.251E-01	4.021E-01	3.809E-01	3.616E-01	
2	6	1.795E+00	1.839E+00	1.851E+00	1.772E+00	1.633E+00	1.552E+00	1.448E+00	1.390E+00	1.314E+00	1.209E+00	1.124E+00	1.053E+00	9.917E-01	9.386E-01	8.920E-01	8.135E-01	7.501E-01	6.976E-01	6.533E-01	6.154E-01	
2	7	1.583E+00	1.673E+00	1.690E+00	1.615E+00	1.484E+00	1.406E+00	1.307E+00	1.252E+00	1.179E+00	1.081E+00	1.002E+00	9.355E-01	8.793E-01	8.307E-01	7.883E-01	7.173E-01	6.602E-01	6.132E-01	5.736E-01	5.399E-01	
2	8	1.066E+00	1.119E+00	1.140E+00	1.101E+00	1.026E+00	9.804E-01	9.213E-01	8.873E-01	8.426E-01	7.805E-01	7.293E-01	6.859E-01	6.485E-01	6.158E-01	5.870E-01	5.382E-01	4.985E-01	4.655E-01	4.376E-01	4.136E-01	
2	9	5.370E-01	5.285E-01	5.221E-01	4.921E-01	4.457E-01	4.197E-01	3.877E-01	3.700E-01	3.473E-01	3.168E-01	2.923E-01	2.719E-01	2.546E-01	2.396E-01	2.265E-01	2.045E-01	1.869E-01	1.724E-01	1.603E-01	1.499E-01	
2	10	3.836E+00	3.313E+00	2.934E+00	2.691E+00	2.479E+00	2.391E+00	2.291E+00	2.235E+00	2.158E+00	2.040E+00	1.931E+00	1.830E+00	1.737E+00	1.652E+00	1.575E+00	1.440E+00	1.327E+00	1.231E+00	1.149E+00	1.078E+00	
2	11	1.032E+01	9.128E+00	8.099E+00	7.326E+00	6.540E+00	6.170E+00	5.745E+00	5.516E+00	5.225E+00	4.827E+00	4.501E+00	4.225E+00	3.986E+00	3.776E+00	3.591E+00	3.277E+00	3.019E+00	2.804E+00	2.621E+00	2.463E+00	
2	12	4.974E-01	3.849E-01	3.402E-01	3.346E-01	3.552E-01	3.729E-01	3.954E-01	4.060E-01	4.157E-01	4.191E-01	4.126E-01	4.009E-01	3.868E-01	3.719E-01	3.570E-01	3.287E-01	3.034E-01	2.813E-01	2.619E-01	2.450E-01	
2	13	1.742E-01	1.418E-01	1.239E-01	1.191E-01	1.227E-01	1.271E-01	1.328E-01	1.355E-01	1.377E-01	1.378E-01	1.351E-01	1.309E-01	1.261E-01	1.211E-01	1.162E-01	1.069E-01	9.875E-02	9.158E-02	8.534E-02	7.989E-02	
2	14	5.533E-01	6.076E-01	6.401E-01	6.613E-01	6.813E-01	6.873E-01	6.873E-01	6.830E-01	6.723E-01	6.482E-01	6.213E-01	5.946E-01	5.691E-01	5.455E-01	5.236E-01	4.852E-01	4.528E-01	4.253E-01	4.018E-01	3.814E-01	
2	15	1.686E-01	1.964E-01	2.091E-01	2.181E-01	2.276E-01	2.309E-01	2.321E-01	2.310E-01	2.274E-01	2.185E-01	2.084E-01	1.981E-01	1.883E-01	1.792E-01	1.708E-01	1.562E-01	1.439E-01	1.336E-01	1.248E-01	1.172E-01	
2	16	2.402E-01	2.577E-01	2.702E-01	2.788E-01	2.871E-01	2.896E-01	2.898E-01	2.882E-01	2.841E-01	2.747E-01	2.641E-01	2.535E-01	2.434E-01	2.339E-01	2.251E-01	2.096E-01	1.965E-01	1.853E-01	1.757E-01	1.673E-01	
3	4	4.938E+00	4.547E+00	4.503E+00	4.421E+00	4.319E+00	4.280E+00	4.246E+00	4.228E+00	4.200E+00	4.132E+00	4.042E+00	3.937E+00	3.825E+00	3.711E+00	3.600E+00	3.390E+00	3.201E+00	3.035E+00	2.889E+00	2.760E+00	
3	5	1.017E+00	8.535E-01	7.711E-01	7.274E-01	7.255E-01	7.506E-01	8.026E-01	8.379E-01	8.846E-01	9.393E-01	9.674E-01	9.760E-01	9.716E-01	9.590E-01	9.413E-01	8.988E-01	8.537E-01	8.101E-01	7.693E-01	7.320E-01	
3	6	7.417E-01	7.431E-01	7.400E-01	7.006E-01	6.373E-01	6.016E-01	5.573E-01	5.327E-01	5.011E-01	4.583E-01	4.239E-01	3.951E-01	3.706E-01	3.494E-01	3.308E-01	2.996E-01	2.744E-01	2.536E-01	2.362E-01	2.213E-01	
3	7	1.155E+00	1.219E+00	1.241E+00	1.197E+00	1.113E+00	1.061E+00	9.949E-01	9.569E-01	9.071E-01	8.382E-01	7.817E-01	7.340E-01	6.931E-01	6.574E-01	6.260E-01	5.731E-01	5.302E-01	4.946E-01	4.645E-01	4.387E-01	
3	8	1.056E+00	1.097E+00	1.101E+00	1.048E+00	9.581E-01	9.058E-01	8.401E-01	8.030E-01	7.553E-01	6.905E-01	6.384E-01	5.952E-01	5.586E-01	5.269E-01	4.993E-01	4.532E-01	4.162E-01	3.858E-01	3.603E-01	3.385E-01	
3	9	7.844E-01	8.129E-01	8.235E-01	7.932E-01	7.373E-01	7.035E-01	6.602E-01	6.353E-01	6.027E-01	5.575E-01	5.203E-01	4.889E-01	4.618E-01	4.382E-01	4.174E-01	3.823E-01	3.538E-01	3.301E-01	3.101E-01	2.929E-01	
3	10	7.190E-01	6.066E-01	5.379E-01	5.092E-01	5.033E-01	5.080E-01	5.155E-01	5.184E-01	5.188E-01	5.108E-01	4.962E-01	4.783E-01	4.594E-01	4.406E-01	4.224E-01	3.889E-01	3.596E-01	3.343E-01	3.122E-01	2.929E-01	
3	11	4.453E+00	3.900E+00	3.460E+00	3.147E+00	2.847E+00	2.711E+00	2.556E+00	2.472E+00	2.361E+00	2.204E+00	2.069E+00	1.951E+00	1.846E+00	1.753E+00	1.669E+00	1.525E+00	1.405E+00	1.304E+00	1.218E+00	1.144E+00	
3	12	5.661E+00	5.003E+00	4.437E+00	4.013E+00	3.583E+00	3.381E+00	3.149E+00	3.024E+00	2.864E+00	2.646E+00	2.467E+00	2.315E+00	2.184E+00	2.069E+00	1.967E+00	1.794E+00	1.653E+00	1.534E+00	1.434E+00	1.347E+00	
3	13	2.847E-01	2.159E-01	1.894E-01	1.855E-01	1.956E-01	2.046E-01	2.158E-01	2.211E-01	2.257E-01	2.266E-01	2.225E-01	2.157E-01	2.077E-01	1.993E-01	1.910E-01	1.754E-01	1.615E-01	1.493E-01	1.387E-01	1.294E-01	
3	14	3.028E-01	3.346E-01	3.558E-01	3.705E-01	3.850E-01	3.899E-01	3.917E-01	3.901E-01	3.849E-01	3.722E-01	3.574E-01	3.424E-01	3.280E-01	3.146E-01	3.021E-01	2.801E-01	2.615E-01	2.456E-01	2.321E-01	2.203E-01	
3	15	2.134E-01	2.392E-01	2.516E-01	2.599E-01	2.681E-01	2.706E-01	2.707E-01	2.688E-01	2.643E-01	2.541E-01	2.428E-01	2.315E-01	2.208E-01	2.109E-01	2.018E-01	1.858E-01	1.724E-01	1.610E-01	1.514E-01	1.430E-01	
3	16	2.055E-01	2.231E-01	2.331E-01	2.395E-01	2.451E-01	2.465E-01	2.457E-01	2.438E-01	2.396E-01	2.307E-01	2.210E-01	2.115E-01	2.024E-01	1.941E-01	1.864E-01	1.729E-01	1.615E-01	1.518E-01	1.436E-01	1.364E-01	
4	5	2.971E+00	2.739E+00	2.733E+00	2.696E+00	2.640E+00	2.615E+00	2.588E+00	2.573E+00	2.549E+00	2.499E+00	2.437E+00	2.369E+00	2.299E+00	2.228E+00	2.160E+00	2.033E+00	1.921E+00	1.822E+00	1.735E+00	1.659E+00	
4	6	2.569E-01	2.542E-01	2.515E-01	2.354E-01	2.108E-01	1.973E-01	1.810E-01	1.721E-01	1.608E-01	1.458E-01	1.339E-01	1.240E-01	1.156E-01	1.084E-01	1.020E-01	9.147E-02	8.297E-02	7.599E-02	7.015E-02	6.519E-02	
4	7	6.651E-01	6.835E-01	6.886E-01	6.593E-01	6.083E-01	5.784E-01	5.404E-01	5.189E-01	4.909E-01	4.524E-01	4.209E-01	3.945E-01	3.718E-01	3.521E-01	3.347E-01	3.055E-01	2.818E-01	2.622E-01	2.456E-01	2.314E-01	
4	8	8.274E-01	8.608E-01	8.675E-01	8.301E-01	7.646E-01	7.259E-01	6.766E-01	6.487E-01	6.124E-01	5.627E-01	5.225E-01	4.888E-01	4.601E-01	4.352E-01	4.133E-01	3.768E-01	3.473E-01	3.229E-01	3.024E-01	2.849E-01	
